เดือน,จังหวัด, อัตราการเข้าพักปี 2567 , อัตราการเข้าพักปี 2566 ,%การเปลี่ยนแปลง, จำนวนผู้เข้าพักปี 2567 (คน)  , จำนวนผู้เข้าพักปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนทั้งหมดปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนทั้งหมดปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนคนไทยปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนคนไทยปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนชาวต่างชาติปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนชาวต่างชาติปี 2566 (คน) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนคนไทยปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนคนไทยปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนชาวต่างชาติปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนชาวต่างชาติปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง,จำนวนอุทยานแห่งชาติ,จำนวนสถานที่ท่องเที่ยว
พฤศจิกายน,สมุทรสาคร,44.64,42.98,1.66,29659,29188,1.61,117441,117202,0.20,116778,116511,0.23,663,691,-4.05,218.08,211.89,2.92,216.60,210.39,2.95,1.48,1.50,-1.33,0,36
พฤศจิกายน,ชัยนาท,53.49,53.23,0.26,20912,21628,-3.31,100350,100612,-0.26,99984,100181,-0.20,366,431,-15.08,152.67,164.23,-7.04,152.08,163.43,-6.94,0.59,0.80,-26.25,0,36
พฤศจิกายน,นนทบุรี,61.08,57.83,3.25,91209,95263,-4.26,334103,313176,6.68,316936,296816,6.78,17167,16360,4.93,588.05,519.23,13.25,546.66,479.81,13.93,41.39,39.42,5.00,0,76
พฤศจิกายน,ปทุมธานี,58.67,56.22,2.45,53168,72237,-26.40,300607,272083,10.48,262929,249309,5.46,37678,22774,65.44,537.81,444.70,20.94,468.25,395.55,18.38,69.56,49.15,41.53,0,57
พฤศจิกายน,พระนครศรีอยุธยา,61.18,62.57,-1.39,87834,90397,-2.84,988383,937509,5.43,776538,835192,-7.02,211845,102317,107.05,2211.45,1997.42,10.72,1700.22,1727.27,-1.57,511.23,270.15,89.24,0,84
พฤศจิกายน,ลพบุรี,55.12,56.18,-1.06,64752,65346,-0.91,384357,367848,4.49,381018,366426,3.98,3339,1422,134.81,627.78,594.60,5.58,620.06,591.50,4.83,7.72,3.10,149.03,0,47
พฤศจิกายน,สระบุรี,62.35,59.59,2.76,90739,86128,5.35,486574,438989,10.84,477145,431608,10.55,9429,7381,27.75,866.07,795.40,8.88,848.97,781.84,8.59,17.10,13.56,26.11,2,50
พฤศจิกายน,สิงห์บุรี,53.42,54.46,-1.04,17696,18666,-5.20,74606,69789,6.90,73889,69204,6.77,717,585,22.56,144.49,120.20,20.21,143.13,119.19,20.09,1.36,1.01,34.65,0,36
พฤศจิกายน,สุพรรณบุรี,58.06,58.05,0.01,80885,80410,0.59,560074,469803,19.21,556160,466752,19.16,3914,3051,28.29,999.51,847.84,17.89,992.10,838.92,18.26,7.41,8.92,-16.93,1,62
พฤศจิกายน,อ่างทอง,47.97,49.54,-1.57,12350,12040,2.57,87595,87285,0.36,86685,86514,0.20,910,771,18.03,117.89,116.56,1.14,116.55,115.51,0.90,1.34,1.05,27.62,0,58
