เดือน,จังหวัด, อัตราการเข้าพักปี 2567 , อัตราการเข้าพักปี 2566 ,%การเปลี่ยนแปลง, จำนวนผู้เข้าพักปี 2567 (คน)  , จำนวนผู้เข้าพักปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนทั้งหมดปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนทั้งหมดปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนคนไทยปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนคนไทยปี 2566 (คน) ,%การเปลี่ยนแปลง, จำนวนผู้เยี่ยมเยือนชาวต่างชาติปี 2567 (คน) , จำนวนผู้เยี่ยมเยือนชาวต่างชาติปี 2566 (คน) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนคนไทยปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนคนไทยปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง, รายได้จากผู้เยี่ยมเยือนชาวต่างชาติปี 2567 (ล้านบาท) , รายได้จากผู้เยี่ยมเยือนชาวต่างชาติปี 2566 (ล้านบาท) ,%การเปลี่ยนแปลง,จำนวนอุทยานแห่งชาติ,จำนวนสถานที่ท่องเที่ยว
กุมภาพันธ์,กระบี่,70.75,69.40,1.35,313428,250514,25.11,580915,382499,51.87,290772,229191,26.87,290143,153308,89.25,8566.44,5660.05,51.35,2831.04,2939.91,-3.70,5735.40,2720.14,110.85,1,61
กุมภาพันธ์,ชุมพร,62.08,59.47,2.61,107811,96330,11.92,150960,125958,19.85,144712,124912,15.85,6248,1046,497.32,588.57,472.93,24.45,571.96,468.68,22.04,16.61,4.25,290.82,1,79
กุมภาพันธ์,นครศรีธรรมราช,67.66,65.55,2.11,189136,166986,13.26,331571,274963,20.59,326276,272666,19.66,5295,2297,130.52,1248.08,949.80,31.40,1225.71,938.23,30.64,22.37,11.57,93.34,1,79
กุมภาพันธ์,พังงา,68.24,58.61,9.63,99714,90396,10.31,299928,243653,23.10,95007,118636,-19.92,204921,125017,63.91,4202.57,3186.85,31.87,815.51,1032.35,-21.00,3387.06,2154.50,57.21,3,63
กุมภาพันธ์,ภูเก็ต,81.05,79.70,1.35,1050837,875685,20.00,1245852,1037736,20.05,340760,315450,8.02,905092,722286,25.31,46675.69,37473.77,24.56,3341.50,3192.57,4.66,43334.19,34281.20,26.41,0,78
กุมภาพันธ์,ระนอง,58.00,57.03,0.97,53337,44696,19.33,71668,59492,20.47,70005,58585,19.49,1663,907,83.35,265.18,215.32,23.16,256.77,209.65,22.48,8.41,5.67,48.32,4,58
กุมภาพันธ์,สุราษฎร์ธานี,81.16,71.22,9.94,558926,459525,21.63,728150,570050,27.73,357132,263143,35.72,371018,306907,20.89,11935.78,10430.49,14.43,2596.78,2091.16,24.18,9339.00,8339.33,11.99,4,80
กุมภาพันธ์,ตรัง,65.29,56.77,8.52,82109,73114,12.30,141720,115633,22.56,131265,110234,19.08,10455,5399,93.65,646.70,532.37,21.48,564.79,485.72,16.28,81.91,46.65,75.58,0,49
กุมภาพันธ์,นราธิวาส,66.44,55.63,10.81,49067,35284,39.06,107999,76090,41.94,44965,28761,56.34,63034,47329,33.18,371.56,271.66,36.77,132.50,85.14,55.63,239.06,186.52,28.17,0,33
กุมภาพันธ์,ปัตตานี,61.07,52.32,8.75,23748,21631,9.79,50425,37314,35.14,35846,31385,14.21,14579,5929,145.89,153.03,111.47,37.28,107.13,94.02,13.94,45.90,17.45,163.04,0,46
กุมภาพันธ์,พัทลุง,68.44,59.38,9.06,58034,45898,26.44,149980,92202,62.66,144382,90900,58.84,5598,1302,329.95,310.01,202.41,53.16,300.55,199.82,50.41,9.46,2.59,265.25,0,33
กุมภาพันธ์,ยะลา,81.82,81.78,0.04,91920,97951,-6.16,158568,135587,16.95,89009,84779,4.99,69559,50808,36.91,594.01,444.79,33.55,303.57,242.40,25.24,290.44,202.39,43.51,0,36
กุมภาพันธ์,สงขลา,77.79,54.55,23.24,379547,252933,50.06,672484,413599,62.59,318659,203833,56.33,353825,209766,68.68,4177.56,2872.75,45.42,1853.38,1342.64,38.04,2324.18,1530.11,51.90,0,62
กุมภาพันธ์,สตูล,68.98,56.34,12.64,96245,80314,19.84,162468,146317,11.04,123466,119384,3.42,39002,26933,44.81,998.33,843.83,18.31,703.04,650.94,8.00,295.29,192.89,53.09,0,59
กุมภาพันธ์,เชียงราย,83.69,79.12,4.57,417186,389249,7.18,626693,584313,7.25,533838,508217,5.04,92855,76096,22.02,4843.62,4280.84,13.15,4001.09,3568.03,12.14,842.53,712.81,18.20,0,106
กุมภาพันธ์,เชียงใหม่,86.48,72.54,13.94,736287,619063,18.94,1093447,934846,16.97,768324,699251,9.88,325123,235595,38.00,9702.95,7491.98,29.51,5725.15,5008.21,14.32,3977.80,2483.77,60.15,0,159
กุมภาพันธ์,น่าน,77.78,95.74,-17.96,96721,102427,-5.57,127201,156350,-18.64,125035,154025,-18.82,2166,2325,-6.84,348.00,447.73,-22.27,336.85,436.85,-22.89,11.15,10.88,2.48,0,66
กุมภาพันธ์,พะเยา,73.48,77.84,-4.36,46383,44070,5.25,97241,93146,4.40,93172,88792,4.93,4069,4354,-6.55,214.87,202.20,6.27,204.73,192.33,6.45,10.14,9.87,2.74,0,46
กุมภาพันธ์,แพร่,67.26,69.70,-2.44,49644,45370,9.42,117353,106305,10.39,114848,105401,8.96,2505,904,177.10,264.66,238.15,11.13,258.98,235.75,9.85,5.68,2.40,136.67,0,67
กุมภาพันธ์,แม่ฮ่องสอน,59.45,57.04,2.41,102506,96340,6.40,110105,104271,5.60,88113,85075,3.57,21992,19196,14.57,536.17,492.48,8.87,390.72,371.16,5.27,145.45,121.32,19.89,0,73
กุมภาพันธ์,ลำปาง,61.55,54.96,6.59,65716,60952,7.82,145911,140984,3.49,136288,134809,1.10,9623,6175,55.84,459.22,432.04,6.29,414.20,404.92,2.29,45.02,27.12,66.00,0,61
กุมภาพันธ์,ลำพูน,57.49,53.78,3.71,28344,25231,12.34,102582,97863,4.82,95075,90092,5.53,7507,7771,-3.40,155.68,143.85,8.22,139.43,126.58,10.15,16.25,17.27,-5.91,0,63
กุมภาพันธ์,กำแพงเพชร,41.82,38.26,3.56,32075,30430,5.41,70278,66805,5.20,67598,64369,5.02,2680,2436,10.02,145.26,125.92,15.36,139.15,120.77,15.22,6.11,5.15,18.64,0,35
กุมภาพันธ์,ตาก,72.14,64.80,7.34,137833,136248,1.16,191422,180599,5.99,186476,175722,6.12,4946,4877,1.41,644.48,591.14,9.02,622.84,573.50,8.60,21.64,17.64,22.68,0,75
กุมภาพันธ์,นครสวรรค์,55.70,50.09,5.61,92323,76878,20.09,193625,169204,14.43,191999,168379,14.03,1626,825,97.09,483.84,462.99,4.50,478.73,460.49,3.96,5.11,2.50,104.40,0,64
กุมภาพันธ์,พิจิตร,57.24,49.61,7.63,32265,27704,16.46,63252,55591,13.78,62992,55455,13.59,260,136,91.18,134.75,118.19,14.01,134.20,117.90,13.83,0.55,0.29,89.66,0,43
กุมภาพันธ์,พิษณุโลก,51.43,49.72,1.71,138975,132606,4.80,263006,253771,3.64,246446,243310,1.29,16560,10461,58.30,746.69,678.69,10.02,688.58,648.44,6.19,58.11,30.25,92.10,0,41
กุมภาพันธ์,เพชรบูรณ์,60.04,62.18,-2.14,208518,208270,0.12,260187,249011,4.49,252645,242528,4.17,7542,6483,16.34,899.28,839.34,7.14,879.22,824.54,6.63,20.06,14.80,35.54,0,66
กุมภาพันธ์,สุโขทัย,38.80,35.29,3.51,49936,49128,1.64,112474,101013,11.35,83358,83146,0.25,29116,17867,62.96,291.82,250.52,16.49,207.67,196.10,5.90,84.15,54.42,54.63,0,49
กุมภาพันธ์,อุตรดิตถ์,47.71,42.50,5.21,47021,42660,10.22,94079,84931,10.77,93328,84330,10.67,751,601,24.96,189.23,165.94,14.04,187.71,164.75,13.94,1.52,1.19,27.73,0,48
กุมภาพันธ์,อุทัยธานี,52.16,47.19,4.97,30753,27924,10.13,83636,77966,7.27,83517,77874,7.25,119,92,29.35,140.47,123.33,13.90,140.17,123.14,13.83,0.30,0.19,57.89,0,48
กุมภาพันธ์,กาฬสินธุ์,60.07,57.87,2.20,27522,26566,3.60,87602,100835,-13.12,85887,99691,-13.85,1715,1144,49.91,132.19,125.88,5.01,126.81,122.72,3.33,5.38,3.16,70.25,0,29
กุมภาพันธ์,ขอนแก่น,67.70,57.02,10.68,194812,179768,8.37,403762,318278,26.86,394326,309634,27.35,9436,8644,9.16,1244.90,1021.66,21.85,1216.43,994.61,22.30,28.47,27.05,5.25,0,52
กุมภาพันธ์,นครพนม,80.49,79.48,1.01,73640,66615,10.55,206349,173969,18.61,183691,165283,11.14,22658,8686,160.86,342.20,257.11,33.09,304.44,244.61,24.46,37.76,12.50,202.08,0,39
กุมภาพันธ์,บึงกาฬ,49.27,51.62,-2.35,29134,29422,-0.98,66134,56654,16.73,63536,54658,16.24,2598,1996,30.16,111.35,95.91,16.10,105.67,91.45,15.55,5.68,4.46,27.35,0,29
กุมภาพันธ์,มหาสารคาม,53.65,52.47,1.18,28605,26470,8.07,54475,88767,-38.63,53609,87980,-39.07,866,787,10.04,93.06,104.07,-10.58,90.67,102.06,-11.16,2.39,2.01,18.91,0,29
กุมภาพันธ์,เลย,65.20,59.41,5.79,114244,103483,10.40,186342,169275,10.08,183743,167140,9.93,2599,2135,21.73,443.77,403.75,9.91,432.37,394.56,9.58,11.40,9.19,24.05,0,63
กุมภาพันธ์,สกลนคร,53.56,50.51,3.05,63023,55230,14.11,161946,144343,12.20,160657,143309,12.11,1289,1034,24.66,278.46,206.56,34.81,274.70,203.40,35.05,3.76,3.16,18.99,0,45
กุมภาพันธ์,หนองคาย,64.99,64.77,0.22,96948,82206,17.93,278305,235236,18.31,205720,179514,14.60,72585,55722,30.26,600.50,522.96,14.83,449.56,413.75,8.65,150.94,109.21,38.21,0,30
กุมภาพันธ์,หนองบัวลำภู,43.18,33.12,10.06,9267,7966,16.33,28964,25729,12.57,28692,25512,12.46,272,217,25.35,32.57,24.63,32.24,31.96,24.19,32.12,0.61,0.44,38.64,0,29
กุมภาพันธ์,อุดรธานี,61.96,62.08,-0.12,139984,149291,-6.23,373628,355645,5.06,296137,313674,-5.59,77491,41971,84.63,998.71,845.72,18.09,756.02,731.43,3.36,242.69,114.29,112.35,0,32
กุมภาพันธ์,ชัยภูมิ,61.58,45.60,15.98,71561,53529,33.69,148929,93963,58.50,148313,93453,58.70,616,510,20.78,227.22,147.48,54.07,225.65,146.24,54.30,1.57,1.24,26.61,0,47
กุมภาพันธ์,นครราชสีมา,69.80,64.69,5.11,422008,363552,16.08,710659,609671,16.56,684131,597346,14.53,26528,12325,115.24,1750.06,1384.88,26.37,1640.43,1345.50,21.92,109.63,39.38,178.39,1,97
กุมภาพันธ์,บุรีรัมย์,72.85,69.33,3.52,148312,122130,21.44,306989,262514,16.94,302068,258605,16.81,4921,3909,25.89,750.22,554.05,35.41,735.37,543.74,35.24,14.85,10.31,44.03,1,41
กุมภาพันธ์,มุกดาหาร,51.11,50.23,0.88,41232,41161,0.17,155647,151059,3.04,146896,142400,3.16,8751,8659,1.06,299.50,226.86,32.02,277.55,207.96,33.46,21.95,18.90,16.14,0,44
กุมภาพันธ์,ยโสธร,43.96,37.66,6.30,11401,9115,25.08,45237,33944,33.27,45085,33834,33.25,152,110,38.18,70.06,39.04,79.46,69.68,38.84,79.40,0.38,0.20,90.00,0,22
กุมภาพันธ์,ร้อยเอ็ด,48.31,52.17,-3.86,31838,35117,-9.34,66955,74328,-9.92,66244,73570,-9.96,711,758,-6.20,115.63,119.35,-3.12,113.76,117.37,-3.08,1.87,1.98,-5.56,0,37
กุมภาพันธ์,ศรีษะเกษ,49.69,39.13,10.56,28336,22563,25.59,87855,57113,53.83,87343,56732,53.96,512,381,34.38,135.08,84.45,59.95,133.56,83.48,59.99,1.52,0.97,56.70,0,38
กุมภาพันธ์,สุรินทร์,59.50,56.80,2.70,76737,68171,12.57,108557,98854,9.82,105932,96776,9.46,2625,2078,26.32,216.25,189.57,14.07,208.21,184.35,12.94,8.04,5.22,54.02,0,36
กุมภาพันธ์,อำนาจเจริญ,38.66,38.55,0.11,6813,6587,3.43,22573,22343,1.03,22133,21935,0.90,440,408,7.84,32.19,28.19,14.19,31.41,27.57,13.93,0.78,0.62,25.81,0,24
กุมภาพันธ์,อุบลราชธานี,53.82,45.90,7.92,96126,76622,25.45,425492,274298,55.12,422559,272896,54.84,2933,1402,109.20,818.94,663.89,23.35,809.26,658.92,22.82,9.68,4.97,94.77,0,55
มีนาคม,กรุงเทพมหานคร,76.68,75.89,0.79,2793863,2673126,4.52,4585853,4874409,-5.92,2342580,2808837,-16.60,2243273,2065572,8.60,69629.78,66985.44,3.95,15796.22,17809.10,-11.30,53833.56,49176.34,9.47,0,177
มีนาคม,กาญจนบุรี,65.40,60.78,4.62,302714,295690,2.38,1145749,1194390,-4.07,1107622,1171399,-5.44,38127,22991,65.83,2867.61,3037.78,-5.60,2701.49,2916.06,-7.36,166.12,121.72,36.48,6,95
มีนาคม,นครปฐม,56.74,47.24,9.50,87844,73080,20.20,393472,268554,46.52,386809,263170,46.98,6663,5384,23.76,613.84,414.62,48.05,598.78,402.16,48.89,15.06,12.46,20.87,0,66
มีนาคม,ประจวบศิรีขันธ์,72.32,75.95,-3.63,475953,480949,-1.04,906228,969803,-6.56,841785,924984,-8.99,64443,44819,43.79,4306.86,3496.22,23.19,3628.84,3051.44,18.92,678.02,444.78,52.44,4,64
มีนาคม,เพชรบุรี,70.90,70.22,0.68,360074,369929,-2.66,919163,972208,-5.46,892508,960188,-7.05,26655,12020,121.76,3007.81,2654.59,13.31,2840.23,2595.60,9.42,167.58,58.99,184.08,1,58
มีนาคม,ราชบุรี,71.01,50.76,20.25,115157,80711,42.68,279354,174930,59.69,267184,160737,66.22,12170,14193,-14.25,563.95,313.68,79.79,536.45,284.80,88.36,27.50,28.88,-4.78,1,71
มีนาคม,สมุทรปราการ,58.19,48.14,10.05,111531,96564,15.50,380208,285897,32.99,283227,212812,33.09,96981,73085,32.70,764.50,559.41,36.66,457.79,335.25,36.55,306.71,224.16,36.83,0,41
มีนาคม,สมุทรสงคราม,56.17,55.15,1.02,66269,63654,4.11,477703,508617,-6.08,464471,494448,-6.06,13232,14169,-6.61,609.28,563.92,8.04,586.70,541.38,8.37,22.58,22.54,0.18,0,39
มีนาคม,สมุทรสาคร,45.87,38.06,7.81,29950,26404,13.43,144987,83271,74.11,143422,81749,75.44,1565,1522,2.83,238.68,136.47,74.90,235.32,133.37,76.44,3.36,3.10,8.39,0,36
มีนาคม,ชัยนาท,49.25,44.01,5.24,20849,18773,11.06,95103,74419,27.79,94545,73863,28.00,558,556,0.36,145.93,108.67,34.29,144.86,107.82,34.35,1.07,0.85,25.88,0,36
มีนาคม,นนทบุรี,60.29,53.47,6.82,107263,87571,22.49,364106,308000,18.22,342616,287926,18.99,21490,20074,7.05,603.57,509.17,18.54,547.51,457.85,19.58,56.06,51.32,9.24,0,76
มีนาคม,ปทุมธานี,55.41,44.52,10.89,68445,61174,11.89,278094,234790,18.44,253092,214217,18.15,25002,20573,21.53,438.72,350.97,25.00,386.60,313.05,23.49,52.12,37.92,37.45,0,57
มีนาคม,พระนครศรีอยุธยา,57.09,54.33,2.76,85713,80119,6.98,955172,792715,20.49,774612,670789,15.48,180560,121926,48.09,1933.17,1414.04,36.71,1499.95,1150.50,30.37,433.22,263.54,64.38,0,84
มีนาคม,ลพบุรี,56.09,49.54,6.55,69323,60459,14.66,351295,310600,13.10,349034,308581,13.11,2261,2019,11.99,605.55,463.78,30.57,600.80,460.33,30.52,4.75,3.45,37.68,0,47
มีนาคม,สระบุรี,58.86,58.49,0.37,83639,80747,3.58,388497,359109,8.18,381382,355257,7.35,7115,3852,84.71,711.89,609.45,16.81,698.36,602.57,15.90,13.53,6.88,96.66,2,50
มีนาคม,สิงห์บุรี,59.67,42.13,17.54,20489,14604,40.30,71480,53766,32.95,70981,53344,33.06,499,422,18.25,121.11,81.14,49.26,120.30,80.53,49.39,0.81,0.61,32.79,0,36
มีนาคม,สุพรรณบุรี,64.05,55.69,8.36,86733,85643,1.27,502693,430537,16.76,497644,425849,16.86,5049,4688,7.70,891.70,692.47,28.77,880.25,682.44,28.99,11.45,10.03,14.16,1,62
มีนาคม,อ่างทอง,54.42,49.29,5.13,13793,12057,14.40,97933,80853,21.12,97035,80146,21.07,898,707,27.02,134.40,97.72,37.54,133.03,96.72,37.54,1.37,1.00,37.00,0,58
มีนาคม,จันทบุรี,68.35,66.80,1.55,132490,120822,9.66,316673,380159,-16.70,313520,376535,-16.74,3153,3624,-13.00,1245.32,1206.48,3.22,1229.72,1188.97,3.43,15.60,17.51,-10.91,3,53
มีนาคม,ฉะเชิงเทรา,50.16,40.84,9.32,38418,30523,25.87,560879,454833,23.32,559194,453524,23.30,1685,1309,28.72,706.59,528.04,33.81,703.17,526.02,33.68,3.42,2.02,69.31,0,48
มีนาคม,ชลบุรี,82.96,68.77,14.19,1651916,1315568,25.57,2275036,1961835,15.96,1230795,1129687,8.95,1044241,832148,25.49,30065.13,23829.65,26.17,7554.39,6405.91,17.93,22510.74,17423.74,29.20,0,103
มีนาคม,ตราด,59.66,60.27,-0.61,181843,151753,19.83,212620,177089,20.06,172998,160027,8.11,39622,17062,132.22,1641.90,1261.67,30.14,1087.76,1026.78,5.94,554.14,234.89,135.91,3,60
มีนาคม,นครนายก,67.24,56.25,10.99,116519,91598,27.21,238947,136962,74.46,237658,135906,74.87,1289,1056,22.06,641.33,439.50,45.92,636.15,435.47,46.08,5.18,4.03,28.54,0,53
มีนาคม,ปราจีนบุรี,54.03,48.49,5.54,72829,63091,15.43,127442,105167,21.18,126511,104622,20.92,931,545,70.83,377.68,311.74,21.15,374.44,309.99,20.79,3.24,1.75,85.14,1,39
มีนาคม,ระยอง,74.38,67.34,7.04,305343,277487,10.04,498387,454728,9.60,427994,414085,3.36,70393,40643,73.20,2307.33,1824.11,26.49,1812.47,1549.50,16.97,494.86,274.61,80.20,0,77
มีนาคม,สระแก้ว,54.34,47.15,7.19,47609,42890,11.00,129700,105481,22.96,125185,103989,20.38,4515,1492,202.61,401.92,344.02,16.83,388.00,337.56,14.94,13.92,6.46,115.48,0,54
มีนาคม,กระบี่,72.56,70.76,1.80,360641,297426,21.25,676676,451135,49.99,369504,290063,27.39,307172,161072,90.70,9669.65,6578.64,46.99,3597.60,3720.73,-3.31,6072.05,2857.91,112.46,1,61
มีนาคม,ชุมพร,60.29,58.80,1.49,106635,93490,14.06,149178,122256,22.02,143178,121216,18.12,6000,1040,476.92,581.87,459.05,26.76,565.90,454.82,24.42,15.97,4.23,277.54,1,79
มีนาคม,นครศรีธรรมราช,69.81,68.23,1.58,198841,176221,12.84,348590,290173,20.13,342981,287633,19.24,5609,2540,120.83,1312.17,1002.51,30.89,1288.48,989.72,30.19,23.69,12.79,85.22,1,79
มีนาคม,พังงา,72.84,61.66,11.18,125255,105356,18.89,371847,288362,28.95,146617,131545,11.46,225230,156817,43.63,4981.26,3847.22,29.48,1258.52,1144.69,9.94,3722.74,2702.53,37.75,3,63
มีนาคม,ภูเก็ต,81.24,81.44,-0.20,988387,898274,10.03,1178697,1065712,10.60,350780,332029,5.65,827917,733683,12.84,43079.00,38182.51,12.82,3439.77,3360.38,2.36,39639.23,34822.13,13.83,0,78
มีนาคม,ระนอง,59.30,51.90,7.40,57248,41605,37.60,76901,55366,38.90,75225,54451,38.15,1676,915,83.17,284.39,200.59,41.78,275.92,194.86,41.60,8.47,5.73,47.82,4,58
มีนาคม,สุราษฎร์ธานี,81.28,73.96,7.32,604785,507393,19.19,788104,628972,25.30,387496,287546,34.76,400608,341426,17.33,12901.36,11562.28,11.58,2817.54,2285.07,23.30,10083.82,9277.21,8.69,4,80
มีนาคม,ตรัง,70.20,54.68,15.52,91272,69615,31.11,158591,110086,44.06,150496,104916,43.44,8095,5170,56.58,710.94,506.97,40.23,647.53,462.29,40.07,63.41,44.68,41.92,0,49
มีนาคม,นราธิวาส,58.95,53.29,5.66,46120,32811,40.56,103344,73254,41.08,40215,22762,76.68,63129,50492,25.03,357.90,266.35,34.37,118.51,67.39,75.86,239.39,198.96,20.32,0,33
มีนาคม,ปัตตานี,49.72,42.60,7.12,19997,16818,18.90,43367,27969,55.05,28984,25565,13.37,14383,2404,498.29,131.91,83.65,57.69,86.61,76.58,13.10,45.30,7.07,540.74,0,46
มีนาคม,พัทลุง,68.33,57.62,10.71,65772,43122,52.53,169479,86752,95.36,164016,85238,92.42,5463,1514,260.83,350.65,190.38,84.18,341.41,187.36,82.22,9.24,3.02,205.96,0,33
มีนาคม,ยะลา,73.81,76.34,-2.53,87177,88820,-1.85,150516,122942,22.43,85651,76622,11.78,64865,46320,40.04,562.97,403.58,39.49,292.12,219.08,33.34,270.85,184.50,46.80,0,36
มีนาคม,สงขลา,76.51,53.08,23.43,369967,256209,44.40,663886,423655,56.70,291039,175897,65.46,372847,247758,50.49,4141.87,2965.85,39.65,1692.74,1158.62,46.10,2449.13,1807.23,35.52,0,62
มีนาคม,สตูล,69.87,59.34,10.53,98533,90482,8.90,168717,167290,0.85,132638,140458,-5.57,36079,26832,34.46,1028.42,958.01,7.35,755.28,765.83,-1.38,273.14,192.18,42.13,0,59
มีนาคม,เชียงราย,65.45,60.78,4.67,354913,333240,6.50,532271,500824,6.28,457499,430448,6.28,74772,70376,6.25,4107.40,3681.26,11.58,3428.93,3022.03,13.46,678.47,659.23,2.92,0,106
มีนาคม,เชียงใหม่,68.16,61.90,6.26,618079,571496,8.15,894011,854564,4.62,570803,599357,-4.76,323208,255207,26.65,8207.66,6983.30,17.53,4253.31,4292.76,-0.92,3954.35,2690.54,46.97,0,159
มีนาคม,น่าน,64.16,69.38,-5.22,89857,90741,-0.97,118151,138533,-14.71,115669,137007,-15.57,2482,1526,62.65,324.41,395.72,-18.02,311.63,388.59,-19.80,12.78,7.13,79.24,0,66
มีนาคม,พะเยา,61.51,57.97,3.54,41143,41027,0.28,86478,87156,-0.78,82390,82378,0.01,4088,4778,-14.44,191.21,189.26,1.03,181.04,178.44,1.46,10.17,10.82,-6.01,0,46
มีนาคม,แพร่,60.78,65.12,-4.34,47307,48465,-2.39,111834,113556,-1.52,109431,112810,-3.00,2403,746,222.12,252.22,254.30,-0.82,246.77,252.31,-2.20,5.45,1.99,173.87,0,67
มีนาคม,แม่ฮ่องสอน,50.85,47.93,2.92,93267,88455,5.44,100180,95788,4.59,79228,76102,4.11,20952,19686,6.43,490.34,456.90,7.32,351.33,332.00,5.82,139.01,124.90,11.30,0,73
มีนาคม,ลำปาง,45.83,45.03,0.80,54380,54293,0.16,120638,125610,-3.96,111975,120889,-7.37,8663,4721,83.50,380.84,383.86,-0.79,340.32,363.11,-6.28,40.52,20.75,95.28,0,61
มีนาคม,ลำพูน,46.14,45.82,0.32,24673,24660,0.05,89519,96556,-7.29,84699,93045,-8.97,4820,3511,37.28,134.68,138.54,-2.79,124.23,130.72,-4.96,10.45,7.82,33.63,0,63
มีนาคม,กำแพงเพชร,40.76,36.49,4.27,35160,32702,7.52,76797,71565,7.31,74394,69362,7.25,2403,2203,9.08,158.64,134.80,17.69,153.16,130.15,17.68,5.48,4.65,17.85,0,35
มีนาคม,ตาก,64.81,62.39,2.42,131719,146713,-10.22,182920,194233,-5.82,178225,189427,-5.91,4695,4806,-2.31,615.84,635.65,-3.12,595.29,618.26,-3.72,20.55,17.39,18.17,0,75
มีนาคม,นครสวรรค์,52.29,57.26,-4.97,89849,97123,-7.49,188433,213724,-11.83,186967,212861,-12.16,1466,863,69.87,470.80,584.77,-19.49,466.20,582.14,-19.92,4.60,2.63,74.90,0,64
มีนาคม,พิจิตร,50.78,47.28,3.50,30042,28826,4.22,58896,57824,1.85,58651,57727,1.60,245,97,152.58,125.46,122.95,2.04,124.92,122.74,1.78,0.54,0.21,157.14,0,43
มีนาคม,พิษณุโลก,46.06,42.89,3.17,128464,119110,7.85,242936,228163,6.47,225560,218013,3.46,17376,10150,71.19,691.19,610.36,13.24,630.22,581.00,8.47,60.97,29.36,107.66,0,41
มีนาคม,เพชรบูรณ์,45.67,50.65,-4.98,161767,183292,-11.74,201617,219653,-8.21,196081,213326,-8.08,5536,6327,-12.50,697.12,739.70,-5.76,682.38,725.26,-5.91,14.74,14.44,2.08,0,66
มีนาคม,สุโขทัย,34.62,30.73,3.89,47317,46101,2.64,106223,94850,11.99,79451,77880,2.02,26772,16970,57.76,275.32,235.38,16.97,197.94,183.67,7.77,77.38,51.71,49.64,0,49
มีนาคม,อุตรดิตถ์,45.60,41.19,4.41,48621,45652,6.50,97260,90822,7.09,96547,90354,6.85,713,468,52.35,195.63,177.43,10.26,194.19,176.51,10.02,1.44,0.92,56.52,0,48
มีนาคม,อุทัยธานี,46.67,45.06,1.61,29399,29543,-0.49,79954,82481,-3.06,79843,82411,-3.12,111,70,58.57,134.29,130.45,2.94,134.00,130.31,2.83,0.29,0.14,107.14,0,48
มีนาคม,กาฬสินธุ์,49.73,60.60,-10.87,22946,28215,-18.67,73067,107417,-31.98,71810,106494,-32.57,1257,923,36.19,110.00,133.63,-17.68,106.05,131.08,-19.10,3.95,2.55,54.90,0,29
