,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนนักท่องเที่ยว ปี 2567P,,,,,,,,,,,,,,,,,,,,,,,,,,,%การเปลี่ยนแปลง,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"17,959,432",,,,,,,,,,,,,,
Country of,2024p,,,,,,,,,,,,,2023p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec)
Kuwait," 8,600 "," 4,506 "," 1,255 "," 4,771 "," 5,992 "," 10,851 "," 14,833 "," 18,945 "," 7,118 "," 4,678 "," 4,761 "," 4,639 "," 90,949 "," 7,099 "," 4,586 "," 2,371 "," 3,341 "," 5,064 "," 8,243 "," 11,533 "," 17,304 "," 6,704 "," 4,561 "," 4,024 "," 4,425 "," 79,255 ",Kuwait,+21.14,-1.74,-47.07,+42.80,+18.33,+31.64,+28.61,+9.48,+6.18,+2.57,+18.32,+4.84,+14.75
Lebanon, 351 , 464 , 397 , 707 , 354 , 551 , 462 , 444 , 360 , 366 , 520 , 852 ," 5,828 ", 169 , 265 , 256 , 294 , 253 , 305 , 332 , 297 , 198 , 266 , 314 , 668 ," 3,617 ",Lebanon,+107.69,+75.09,+55.08,+140.48,+39.92,+80.66,+39.16,+49.49,+81.82,+37.59,+65.61,+27.54,+61.13
Oman," 8,114 "," 4,730 ", 964 ," 5,525 "," 6,881 "," 11,518 "," 20,401 "," 16,229 "," 10,846 "," 9,759 "," 8,350 "," 6,991 "," 110,308 "," 5,407 "," 4,672 "," 2,155 "," 2,531 "," 6,544 "," 7,539 "," 17,384 "," 12,966 "," 8,487 "," 6,897 "," 6,432 "," 5,474 "," 86,488 ",Oman,+50.06,+1.24,-55.27,+118.29,+5.15,+52.78,+17.36,+25.17,+27.80,+41.50,+29.82,+27.71,+27.54
Qatar," 1,841 "," 1,759 ", 703 ," 3,577 "," 2,172 "," 6,458 "," 9,540 "," 7,329 "," 2,108 "," 2,785 "," 1,706 "," 3,490 "," 43,468 "," 2,404 "," 1,825 "," 2,135 "," 3,076 "," 2,153 "," 6,758 "," 9,335 "," 6,140 "," 2,248 "," 2,941 "," 1,355 "," 2,792 "," 43,162 ",Qatar,-23.42,-3.62,-67.07,+16.29,+0.88,-4.44,+2.20,+19.36,-6.23,-5.30,+25.90,+25.00,+0.71
Saudi Arabia," 14,166 "," 11,931 "," 1,493 "," 13,922 "," 13,695 "," 35,609 "," 41,023 "," 21,068 "," 19,668 "," 15,701 "," 24,209 "," 15,547 "," 228,032 "," 7,462 "," 7,436 "," 6,555 "," 8,472 "," 13,431 "," 20,301 "," 33,633 "," 18,664 "," 15,382 "," 13,508 "," 21,089 "," 12,180 "," 178,113 ",Saudi Arabia,+89.84,+60.45,-77.22,+64.33,+1.97,+75.41,+21.97,+12.88,+27.86,+16.23,+14.79,+27.64,+28.03
U.A.E.," 6,150 "," 6,931 "," 1,974 "," 10,316 "," 9,226 "," 20,673 "," 39,491 "," 29,504 "," 11,970 "," 11,432 "," 8,991 "," 13,269 "," 169,927 "," 4,059 "," 4,235 "," 3,195 "," 4,869 "," 9,609 "," 16,059 "," 31,059 "," 22,800 "," 11,132 "," 9,729 "," 6,711 "," 15,477 "," 138,934 ",U.A.E.,+51.52,+63.66,-38.22,+111.87,-3.99,+28.73,+27.15,+29.40,+7.53,+17.50,+33.97,-14.27,+22.31
Yemen, 531 , 652 , 96 , 653 , 724 ," 1,327 "," 1,620 "," 1,215 ", 896 , 936 , 997 , 745 ," 10,392 ", 368 , 361 , 291 , 377 , 612 ," 1,066 "," 1,311 ", 988 , 814 , 757 , 806 , 709 ," 8,460 ",Yemen,+44.29,+80.61,-67.01,+73.21,+18.30,+24.48,+23.57,+22.98,+10.07,+23.65,+23.70,+5.08,+22.84
 Other in Middle East, 419 , 526 , 196 , 651 , 601 ," 1,076 "," 1,137 ", 980 , 831 , 716 , 936 , 858 ," 8,927 ", 351 , 337 , 276 , 369 , 527 , 799 , 802 , 671 , 646 , 506 , 552 , 650 ," 6,486 ", Other in Middle East,+19.37,+56.08,-28.99,+76.42,+14.04,+34.67,+41.77,+46.05,+28.64,+41.50,+69.57,+32.00,+37.63
Africa," 9,731 "," 9,525 "," 9,534 "," 11,264 "," 11,257 "," 13,224 "," 13,362 "," 15,159 "," 14,643 "," 14,629 "," 17,297 "," 27,362 "," 166,987 "," 8,100 "," 7,014 "," 8,647 "," 9,441 "," 8,778 "," 9,411 "," 10,332 "," 10,295 "," 10,620 "," 10,593 "," 10,149 "," 18,687 "," 122,067 ",Africa,+20.14,+35.80,+10.26,+19.31,+28.24,+40.52,+29.33,+47.25,+37.88,+38.10,+70.43,+46.42,+36.80
Morocco, 867 , 847 , 271 , 883 ," 1,015 ", 646 ," 1,501 "," 3,409 "," 2,509 "," 2,424 "," 2,887 "," 2,737 "," 19,996 ", 514 , 618 , 360 , 372 , 700 , 579 , 903 ," 1,507 ", 899 , 679 , 758 ," 1,010 "," 8,899 ",Morocco,+68.68,+37.06,-24.72,+137.37,+45.00,+11.57,+66.22,+126.21,+179.09,+257.00,+280.87,+170.99,+124.70
South  Africa," 4,481 "," 3,865 "," 5,567 "," 4,988 "," 4,908 "," 6,865 "," 4,978 "," 3,676 "," 5,239 "," 5,630 "," 5,041 "," 12,690 "," 67,928 "," 4,125 "," 2,892 "," 4,861 "," 5,265 "," 4,354 "," 5,247 "," 5,043 "," 3,492 "," 5,179 "," 5,296 "," 3,832 "," 10,694 "," 60,280 ",South  Africa,+8.63,+33.64,+14.52,-5.26,+12.72,+30.84,-1.29,+5.27,+1.16,+6.31,+31.55,+18.66,+12.69
Ethiopia," 1,040 "," 1,239 ", 988 ," 1,298 "," 1,572 "," 1,780 "," 2,133 "," 2,044 "," 1,531 "," 1,590 "," 1,407 "," 1,623 "," 18,245 ", 787 , 785 , 827 , 887 ," 1,028 ", 866 ," 1,205 "," 1,289 "," 1,198 "," 1,444 "," 1,185 "," 1,344 "," 12,845 ",Ethiopia,+32.15,+57.83,+19.47,+46.34,+52.92,+105.54,+77.01,+58.57,+27.80,+10.11,+18.73,+20.76,+42.04
Kenya, 336 , 243 , 402 , 465 , 378 , 410 , 441 , 776 , 656 , 585 , 855 ," 1,528 "," 7,075 ", 198 , 284 , 256 , 408 , 362 , 246 , 327 , 541 , 270 , 395 , 367 , 805 ," 4,459 ",Kenya,+69.70,-14.44,+57.03,+13.97,+4.42,+66.67,+34.86,+43.44,+142.96,+48.10,+132.97,+89.81,+58.67
Mauritius, 950 ," 1,049 ", 880 ," 1,489 ", 990 ," 1,082 "," 1,219 "," 1,410 "," 1,430 ", 968 ," 2,914 "," 3,393 "," 17,774 ", 765 , 772 , 903 ," 1,150 ", 654 , 748 , 688 , 972 ," 1,153 ", 794 ," 1,760 "," 1,740 "," 12,099 ",Mauritius,+24.18,+35.88,-2.55,+29.48,+51.38,+44.65,+77.18,+45.06,+24.02,+21.91,+65.57,+95.00,+46.90
 Other in Africa," 2,057 "," 2,282 "," 1,426 "," 2,141 "," 2,394 "," 2,441 "," 3,090 "," 3,844 "," 3,278 "," 3,432 "," 4,193 "," 5,391 "," 35,969 "," 1,711 "," 1,663 "," 1,440 "," 1,359 "," 1,680 "," 1,725 "," 2,166 "," 2,494 "," 1,921 "," 1,985 "," 2,247 "," 3,094 "," 23,485 ", Other in Africa,+20.22,+37.22,-0.97,+57.54,+42.50,+41.51,+42.66,+54.13,+70.64,+72.90,+86.60,+74.24,+53.16
Grand Total," 3,035,296 "," 3,352,302 "," 2,982,721 "," 2,757,128 "," 2,633,464 "," 2,740,372 "," 3,103,420 "," 2,963,148 "," 2,521,005 "," 2,679,180 "," 3,150,237 "," 3,627,441 "," 35,545,714 "," 2,144,948 "," 2,113,550 "," 2,269,733 "," 2,182,100 "," 2,013,852 "," 2,241,201 "," 2,490,643 "," 2,468,042 "," 2,130,596 "," 2,197,017 "," 2,637,077 "," 3,261,257 "," 28,150,016 ",Grand Total,+41.51,+58.61,+31.41,+26.35,+30.77,+22.27,+24.60,+20.06,+18.32,+21.95,+19.46,+11.23,+26.27
หมายเหตุ : P หมายถึง ข้อมูลเบื้องต้น ที่อาจมีการปรับปรุงให้สมบูรณ์ขึ้นภายหลัง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่มา: กองเศรษฐกิจการท่องเที่ยวและกีฬา (ณ วันที่ 6 มกราคม 2567P) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
