,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนนักท่องเที่ยว ปี 2567P,,,,,,,,,,,,,,,,,,,,,,,,,,,%การเปลี่ยนแปลง,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"17,959,432",,,,,,,,,,,,,,
Country of,2024p,,,,,,,,,,,,,2023p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec)
Russian Federation," 219,167 "," 204,742 "," 198,904 "," 144,397 "," 81,263 "," 72,516 "," 83,358 "," 78,437 "," 76,974 "," 129,893 "," 205,766 "," 249,910 "," 1,745,327 "," 202,759 "," 186,103 "," 177,805 "," 115,706 "," 58,467 "," 50,734 "," 64,937 "," 66,602 "," 68,660 "," 107,511 "," 177,517 "," 205,810 "," 1,482,611 ",Russian Federation,+8.09,+10.02,+11.87,+24.80,+38.99,+42.93,+28.37,+17.77,+12.11,+20.82,+15.91,+21.43,+17.72
Slovakia," 3,941 "," 4,211 "," 3,989 "," 1,837 "," 1,209 "," 1,037 "," 1,117 ", 913 , 947 ," 1,637 "," 3,414 "," 4,657 "," 28,909 "," 2,657 "," 3,212 "," 2,626 "," 1,624 ", 957 , 771 , 828 , 627 , 794 ," 1,174 "," 2,549 "," 3,484 "," 21,303 ",Slovakia,+48.33,+31.10,+51.90,+13.12,+26.33,+34.50,+34.90,+45.61,+19.27,+39.44,+33.93,+33.67,+35.70
Ukraine," 6,316 "," 5,104 "," 4,218 "," 3,017 "," 2,485 "," 2,345 "," 2,497 "," 2,403 "," 2,416 "," 3,091 "," 4,758 "," 6,306 "," 44,956 "," 4,652 "," 3,881 "," 3,505 "," 2,411 "," 2,133 "," 1,901 "," 2,024 "," 1,945 "," 2,031 "," 2,610 "," 3,673 "," 5,660 "," 36,426 ",Ukraine,+35.77,+31.51,+20.34,+25.13,+16.50,+23.36,+23.37,+23.55,+18.96,+18.43,+29.54,+11.41,+23.42
Uzbekistan," 6,205 "," 4,899 "," 3,163 "," 2,089 "," 1,996 "," 2,056 "," 2,495 "," 2,059 "," 2,464 "," 3,103 "," 6,762 "," 8,055 "," 45,346 "," 4,940 "," 3,810 "," 3,315 "," 1,596 "," 1,460 "," 1,517 "," 1,715 "," 1,837 "," 1,720 "," 2,734 "," 3,621 "," 5,886 "," 34,151 ",Uzbekistan,+25.61,+28.58,-4.59,+30.89,+36.71,+35.53,+45.48,+12.08,+43.26,+13.50,+86.74,+36.85,+32.78
Southern/Medit. Europe," 83,639 "," 76,781 "," 69,986 "," 65,617 "," 46,821 "," 53,249 "," 81,611 "," 118,957 "," 68,906 "," 79,739 "," 108,612 "," 117,942 "," 971,860 "," 69,937 "," 60,888 "," 56,959 "," 46,890 "," 33,060 "," 40,319 "," 59,678 "," 92,198 "," 59,969 "," 51,894 "," 65,587 "," 78,263 "," 715,642 ",Southern/Medit. Europe,+19.59,+26.10,+22.87,+39.94,+41.62,+32.07,+36.75,+29.02,+14.90,+53.66,+65.60,+50.70,+35.80
Croatia," 1,483 "," 1,240 ", 969 , 433 , 269 , 204 , 268 , 426 , 409 , 589 ," 1,441 "," 2,225 "," 9,956 ", 900 , 817 , 555 , 336 , 188 , 174 , 227 , 243 , 265 , 343 , 810 ," 1,512 "," 6,370 ",Croatia,+64.78,+51.77,+74.59,+28.87,+43.09,+17.24,+18.06,+75.31,+54.34,+71.72,+77.90,+47.16,+56.30
Cyprus, 428 , 352 , 246 , 262 , 213 , 147 , 281 , 497 , 249 , 265 , 406 , 596 ," 3,942 ", 274 , 202 , 204 , 189 , 138 , 200 , 214 , 511 , 169 , 177 , 232 , 383 ," 2,893 ",Cyprus,+56.20,+74.26,+20.59,+38.62,+54.35,-26.50,+31.31,-2.74,+47.34,+49.72,+75.00,+55.61,+36.26
Greece," 3,031 "," 2,144 "," 1,933 "," 1,218 ", 987 , 669 , 772 ," 1,633 ", 771 ," 1,215 "," 2,633 "," 3,631 "," 20,637 "," 2,136 "," 1,733 "," 1,324 "," 1,177 ", 568 , 534 , 713 ," 1,537 ", 663 ," 1,061 "," 2,256 "," 2,860 "," 16,562 ",Greece,+41.90,+23.72,+46.00,+3.48,+73.77,+25.28,+8.27,+6.25,+16.29,+14.51,+16.71,+26.96,+24.60
Israel," 13,657 "," 17,350 "," 17,923 "," 24,243 "," 17,672 "," 17,018 "," 28,814 "," 29,522 "," 27,892 "," 29,840 "," 26,797 "," 31,075 "," 281,803 "," 24,321 "," 21,314 "," 22,697 "," 17,820 "," 11,191 "," 13,134 "," 21,651 "," 27,135 "," 26,968 "," 13,043 "," 6,962 "," 10,848 "," 217,084 ",Israel,-43.85,-18.60,-21.03,+36.04,+57.91,+29.57,+33.08,+8.80,+3.43,+128.78,+284.90,+186.46,+29.81
Italy," 33,368 "," 26,388 "," 20,399 "," 14,343 "," 9,046 "," 10,168 "," 15,985 "," 40,581 "," 11,147 "," 14,256 "," 29,600 "," 42,193 "," 267,474 "," 21,695 "," 17,808 "," 13,422 "," 10,329 "," 7,089 "," 8,055 "," 12,452 "," 29,929 "," 9,229 "," 10,724 "," 19,955 "," 31,296 "," 191,983 ",Italy,+53.81,+48.18,+51.98,+38.86,+27.61,+26.23,+28.37,+35.59,+20.78,+32.94,+48.33,+34.82,+39.32
Portugal," 3,934 "," 4,330 "," 5,951 "," 4,145 "," 2,940 "," 2,818 "," 3,496 "," 4,998 "," 3,494 "," 4,668 "," 7,405 "," 6,614 "," 54,793 "," 2,809 "," 3,043 "," 3,370 "," 3,775 "," 2,455 "," 2,273 "," 2,667 "," 3,358 "," 2,602 "," 3,603 "," 5,607 "," 5,539 "," 41,101 ",Portugal,+40.05,+42.29,+76.59,+9.80,+19.76,+23.98,+31.08,+48.84,+34.28,+29.56,+32.07,+19.41,+33.31
